feature_set,model,feature,mean_abs_shap
no_consequence,random_forest,RDWCV,0.0013072416375335047
no_consequence,random_forest,MCV,0.001281452697671921
no_consequence,random_forest,Weight,0.0012749360059285306
no_consequence,random_forest,EO,0.001161046734004289
no_consequence,random_forest,ASTALT,0.001142747817253538
no_consequence,random_forest,hip,0.00104061372622823
no_consequence,random_forest,HR,0.0009419293427242717
no_consequence,random_forest,Height,0.0008935441943031697
no_consequence,random_forest,MCH,0.0008802482924391392
no_consequence,random_forest,waist1,0.0008756710706910442
no_consequence,random_forest,MPV,0.0008096981679533656
no_consequence,random_forest,ALT,0.0007952407858238878
no_consequence,random_forest,Drinking,0.0006205602086583424
no_consequence,random_forest,Smoking,0.0005063961951668888
no_consequence,random_forest,BASO,0.0004187758307380979
no_consequence,random_forest,BASOcount,0.00033318807407489714
no_consequence,random_forest,Tea,0.0002288938229484633
no_consequence,random_forest,Gender,0.00020751216912719348
no_consequence,random_forest,DRyd,0.00016011536970267885
no_consequence,random_forest,cataract,9.390577638552884e-05
no_consequence,random_forest,HbsAg,8.212247869680939e-05
no_consequence,random_forest,DMhis,6.76790158254842e-05
no_consequence,random_forest,DMfamilyHistory,2.3525114808258125e-05
no_consequence,random_forest,MADPN,1.057997790012957e-05
no_consequence,random_forest,TFDPN,8.100802769028657e-07
no_consequence,random_forest,HCVAb,0.0
no_consequence,xgboost,Age,0.20776280760765076
no_consequence,xgboost,FCP,0.16433531045913696
no_consequence,xgboost,ALP,0.15418507158756256
no_consequence,xgboost,CP2h,0.09352382272481918
no_consequence,xgboost,LDL,0.09243844449520111
no_consequence,xgboost,FIB4,0.09160612523555756
no_consequence,xgboost,FPG,0.08604133129119873
no_consequence,xgboost,INS2h,0.08436303585767746
no_consequence,xgboost,WBC,0.08342595398426056
no_consequence,xgboost,HDL,0.0805903896689415
no_consequence,xgboost,AG,0.07798627763986588
no_consequence,xgboost,TG,0.07783138751983643
no_consequence,xgboost,GGT,0.07742314040660858
no_consequence,xgboost,AST,0.0739302784204483
no_consequence,xgboost,Bpsys,0.06393871456384659
no_consequence,xgboost,PG2h,0.06251616775989532
no_consequence,xgboost,WHR,0.057481829077005386
no_consequence,xgboost,PCT,0.05445650592446327
no_consequence,xgboost,RDWSD,0.05308705195784569
no_consequence,xgboost,Smoking,0.05264635384082794
no_consequence,xgboost,PDW,0.0514921173453331
no_consequence,xgboost,NEUTcount,0.04994857311248779
no_consequence,xgboost,HR,0.046137936413288116
no_consequence,xgboost,MONO,0.045637570321559906
no_consequence,xgboost,Fat,0.043552521616220474
no_consequence,xgboost,hip,0.04334031417965889
no_consequence,xgboost,CHOL,0.042076028883457184
no_consequence,xgboost,EO,0.04007349908351898
no_consequence,xgboost,MCHC,0.03967602923512459
no_consequence,xgboost,HomaIR,0.037215642631053925
no_consequence,xgboost,EOcount,0.03673238307237625
no_consequence,xgboost,LYMPH,0.033871158957481384
no_consequence,xgboost,LYMPHcount,0.032284583896398544
no_consequence,xgboost,ISIGutt,0.031501125544309616
no_consequence,xgboost,MONOcount,0.031150050461292267
no_consequence,xgboost,DBIL,0.029559891670942307
no_consequence,xgboost,waist1,0.027658386155962944
no_consequence,xgboost,RDWCV,0.02656949684023857
no_consequence,xgboost,TBIL,0.02434779331088066
no_consequence,xgboost,HypertenHis,0.023290563374757767
no_consequence,xgboost,NEUT,0.021480677649378777
no_consequence,xgboost,Drinking,0.020437495782971382
no_consequence,xgboost,ASTALT,0.02039143070578575
no_consequence,xgboost,Weight,0.019245469942688942
no_consequence,xgboost,Height,0.018177328631281853
no_consequence,xgboost,Bpdia,0.018090127035975456
no_consequence,xgboost,MPV,0.01538100652396679
no_consequence,xgboost,BMI,0.014971604570746422
no_consequence,xgboost,ALT,0.01459348015487194
no_consequence,xgboost,FINS,0.014121536165475845
no_consequence,xgboost,HbA1c,0.013975255191326141
no_consequence,xgboost,BASO,0.012781782075762749
no_consequence,xgboost,PLT,0.01217723824083805
no_consequence,xgboost,MCV,0.01147158071398735
no_consequence,xgboost,BASOcount,0.011240714229643345
no_consequence,xgboost,MCH,0.006766799837350845
no_consequence,xgboost,DM,0.004976354539394379
no_consequence,xgboost,HbsAg,0.00047248959890566766
no_consequence,xgboost,Tea,0.0003022224409505725
no_consequence,xgboost,Gender,0.00024082836171146482
no_consequence,xgboost,DMhis,0.0
no_consequence,xgboost,DMfamilyHistory,0.0
no_consequence,xgboost,DRyd,0.0
no_consequence,xgboost,cataract,0.0
no_consequence,xgboost,MADPN,0.0
no_consequence,xgboost,TFDPN,0.0
no_consequence,xgboost,HCVAb,0.0
