feature_set,model,feature,per,coefficient,odds_ratio,low,high,p_value
no_consequence,lr_penalized,EO,1 DS,-0.10040600705246532,0.9044701222302917,,,
no_consequence,lr_penalized,GGT,1 DS,-0.09285363033438548,0.911326881145306,,,
no_consequence,lr_penalized,Bpdia,1 DS,-0.09237905530924598,0.9117594767642551,,,
no_consequence,lr_penalized,MPV,1 DS,-0.08178915443273575,0.9214662252844894,,,
no_consequence,lr_penalized,EOcount,1 DS,0.07774645376780621,1.0808485788408604,,,
no_consequence,lr_penalized,MCV,1 DS,0.0768572072354862,1.0798878652091035,,,
no_consequence,lr_penalized,FPG,1 DS,0.07393466186958364,1.0767364512511617,,,
no_consequence,lr_penalized,HR,1 DS,0.06952271723090636,1.0719964137182203,,,
no_consequence,lr_penalized,HbsAg,unità,-0.06850425062725592,0.9337894909040257,,,
no_consequence,lr_penalized,MCHC,1 DS,0.06162940974392798,1.0635681237019972,,,
no_consequence,lr_penalized,HbA1c,1 DS,-0.05197426008932512,0.9493533027976115,,,
no_consequence,lr_penalized,TG,1 DS,0.045877788973272264,1.0469464547371035,,,
no_consequence,lr_penalized,Height,1 DS,0.04070087720538392,1.0415405104370152,,,
no_consequence,lr_penalized,NEUT,1 DS,-0.0368289373030564,0.9638409984883111,,,
no_consequence,lr_penalized,RDWSD,1 DS,-0.03625393787553661,0.9643953658758532,,,
no_consequence,lr_penalized,waist1,1 DS,0.034153554961746956,1.0347434845257528,,,
no_consequence,lr_penalized,HomaIR,1 DS,0.033596815267973854,1.034167562089361,,,
no_consequence,lr_penalized,CP2h,1 DS,0.032108208049055294,1.0326292380550652,,,
no_consequence,lr_penalized,INS2h,1 DS,0.03004238142851906,1.0304982070141466,,,
no_consequence,lr_penalized,PCT,1 DS,0.019411103285606995,1.0196007236774498,,,
no_consequence,lr_penalized,HDL,1 DS,-0.019115314622410753,0.9810662244384787,,,
no_consequence,lr_penalized,Weight,1 DS,0.018826493270898203,1.019004829083329,,,
no_consequence,lr_penalized,ASTALT,1 DS,-0.017348818453161923,0.9828008057803118,,,
no_consequence,lr_penalized,FIB4,1 DS,0.010587220526687011,1.0106434634561188,,,
no_consequence,lr_penalized,Tea,unità,0.004232538610492729,1.0042415084526404,,,
no_consequence,lr_penalized,WHR,1 DS,-0.0034546014111082332,0.9965513588589188,,,
no_consequence,lr_penalized,Drinking,unità,-0.000198138436151647,0.9998018811919719,,,
no_consequence,lr_penalized,CHOL,1 DS,0.0,1.0,,,
no_consequence,lr_penalized,MCH,1 DS,0.0,1.0,,,
no_consequence,lr_penalized,PDW,1 DS,0.0,1.0,,,
no_consequence,lr_penalized,DMhis,unità,0.0,1.0,,,
no_consequence,lr_penalized,cataract,unità,0.0,1.0,,,
no_consequence,lr_penalized,HCVAb,unità,0.0,1.0,,,
