technique,model,level,band,n
ctgan,xgboost,basso,3,32
ctgan,xgboost,basso,4,15
ctgan,xgboost,moderato,1,276
ctgan,xgboost,moderato,2,64
ctgan,xgboost,moderato,3,12
ctgan,xgboost,moderato,4,2
ctgan,xgboost,alto,1,29
ctgan,xgboost,alto,2,17
ctgan,xgboost,alto,3,2
ctgan,xgboost,alto,4,2
ctgan,xgboost,molto alto,1,7
ctgan,xgboost,molto alto,2,8
ctgan,xgboost,molto alto,3,4
ctgan,xgboost,molto alto,4,2
ctgan_level,lr_scored,basso,1,3569
ctgan_level,lr_scored,basso,2,297
ctgan_level,lr_scored,basso,3,42
ctgan_level,lr_scored,basso,4,17
ctgan_level,lr_scored,moderato,1,299
ctgan_level,lr_scored,moderato,2,45
ctgan_level,lr_scored,moderato,3,8
ctgan_level,lr_scored,moderato,4,2
ctgan_level,lr_scored,alto,1,39
ctgan_level,lr_scored,alto,2,9
ctgan_level,lr_scored,alto,3,0
ctgan_level,lr_scored,alto,4,2
ctgan_level,lr_scored,molto alto,1,18
ctgan_level,lr_scored,molto alto,2,3
ctgan_level,lr_scored,molto alto,3,0
ctgan_level,lr_scored,molto alto,4,0
ctgan_level,lr_penalized,basso,1,3596
ctgan_level,lr_penalized,basso,2,277
ctgan_level,lr_penalized,basso,3,37
ctgan_level,lr_penalized,basso,4,15
ctgan_level,lr_penalized,moderato,1,278
ctgan_level,lr_penalized,moderato,2,60
ctgan_level,lr_penalized,moderato,3,13
ctgan_level,lr_penalized,moderato,4,3
ctgan_level,lr_penalized,alto,1,36
ctgan_level,lr_penalized,alto,2,12
ctgan_level,lr_penalized,alto,3,0
ctgan_level,lr_penalized,alto,4,2
ctgan_level,lr_penalized,molto alto,1,15
ctgan_level,lr_penalized,molto alto,2,5
ctgan_level,lr_penalized,molto alto,3,0
ctgan_level,lr_penalized,molto alto,4,1
ctgan_level,random_forest,basso,1,3582
ctgan_level,random_forest,basso,2,283
ctgan_level,random_forest,basso,3,41
ctgan_level,random_forest,basso,4,19
ctgan_level,random_forest,moderato,1,291
ctgan_level,random_forest,moderato,2,55
ctgan_level,random_forest,moderato,3,7
ctgan_level,random_forest,moderato,4,1
ctgan_level,random_forest,alto,1,41
ctgan_level,random_forest,alto,2,9
ctgan_level,random_forest,alto,3,0
ctgan_level,random_forest,alto,4,0
ctgan_level,random_forest,molto alto,1,11
ctgan_level,random_forest,molto alto,2,7
ctgan_level,random_forest,molto alto,3,2
ctgan_level,random_forest,molto alto,4,1
ctgan_level,xgboost,basso,1,3616
ctgan_level,xgboost,basso,2,263
ctgan_level,xgboost,basso,3,33
ctgan_level,xgboost,basso,4,13
ctgan_level,xgboost,moderato,1,271
ctgan_level,xgboost,moderato,2,66
ctgan_level,xgboost,moderato,3,12
ctgan_level,xgboost,moderato,4,5
ctgan_level,xgboost,alto,1,32
ctgan_level,xgboost,alto,2,15
ctgan_level,xgboost,alto,3,2
ctgan_level,xgboost,alto,4,1
ctgan_level,xgboost,molto alto,1,6
ctgan_level,xgboost,molto alto,2,10
ctgan_level,xgboost,molto alto,3,3
ctgan_level,xgboost,molto alto,4,2
