technique,model,probabilities,intercept,slope,brier,mean_probability,prevalence
smote_nc_level,random_forest,ricalibrata,0.025844693814801586,0.9050601232739487,0.0847316032617467,0.09557215555819984,0.09770114942528736
smote_nc_level,xgboost,grezza,-0.168028053313077,0.47961085722971264,0.08856616178308771,0.11059552909932817,0.09770114942528736
smote_nc_level,xgboost,ricalibrata,0.031681668016501505,0.9954013490612705,0.0836332461474309,0.09508222670977369,0.09770114942528736
ctgan,dummy,grezza,-2.2230324612920933,,0.25,0.5,0.09770114942528736
ctgan,lr_scored,grezza,-2.1321681674009896,0.3848265999232289,0.21896860756881475,0.4373415368366932,0.09770114942528736
ctgan,lr_penalized,grezza,-1.242783009057659,0.32126777242844673,0.12382812472664446,0.2515766569224099,0.09770114942528736
ctgan,random_forest,grezza,-0.8063263521820421,0.5087685764049225,0.10302056383963097,0.18070727825713667,0.09770114942528736
ctgan,xgboost,grezza,0.08428143515692404,0.4639015026611941,0.08709162957532499,0.09171308330263558,0.09770114942528736
ctgan_level,dummy,grezza,-2.2230324612920933,,0.25,0.5,0.09770114942528736
ctgan_level,lr_scored,grezza,-2.109644733347231,0.34551006694229225,0.21537827445315963,0.427621742703184,0.09770114942528736
ctgan_level,lr_penalized,grezza,-1.1304455049084454,0.3347830172011247,0.11468436679216039,0.23229559060613292,0.09770114942528736
ctgan_level,random_forest,grezza,-0.7521258633152307,0.5026348498884599,0.1012272453079196,0.1722155444155073,0.09770114942528736
ctgan_level,xgboost,grezza,0.11380988377676646,0.4496521464741382,0.08679542381608639,0.08971084608676659,0.09770114942528736
