technique,model,target_sensitivity,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high
level_weight,lr_penalized,0.95,0.2884932441605707,0.10548302872062663,0.09614693209598206,0.11560972699925866,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.12713375796178344,0.11707549362626943,0.13792116870314233,0.8804597701149425,0.8704816453266957,0.8897665243199235
level_weight,random_forest,0.8,0.3307104065210063,0.13071895424836602,0.11830695445072258,0.14422013966666522,0.8,0.7593592358943103,0.8352661081693097,0.42394904458598726,0.40857056974553474,0.43947623838929917,0.5979310344827586,0.5832801394573204,0.6124091175030784
level_weight,random_forest,0.85,0.2912433172613801,0.12094888072168393,0.1097505338865984,0.13311899018462545,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3296815286624204,0.3151475758914746,0.3445485421592338,0.6880459770114943,0.674117559954718,0.7016425625654843
level_weight,random_forest,0.9,0.2538833662796655,0.11348148148148147,0.10321714745784508,0.12462469365931386,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23770700636942677,0.22465039025092504,0.2512765409879744,0.7758620689655172,0.7632294065262134,0.7880079370242056
level_weight,random_forest,0.95,0.2193449662343723,0.10784837159636947,0.09831384265673562,0.11818636614836253,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.14853503184713376,0.13775314351722445,0.16000421602047527,0.8611494252873563,0.8505545487890744,0.8711070068090156
level_weight,xgboost,0.8,0.3335342407226562,0.13417521704814522,0.1214566822525063,0.14800122909332983,0.8,0.7593592358943103,0.8352661081693097,0.44101910828025476,0.4255512622015605,0.45660229251607454,0.5825287356321839,0.5678075553494045,0.5971042832627625
level_weight,xgboost,0.85,0.3037236332893371,0.1258692628650904,0.11424336891488086,0.13849327274689585,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3594904458598726,0.34462267392989565,0.37463298666092815,0.6611494252873563,0.646947156636641,0.6750673248873954
level_weight,xgboost,0.9,0.2721520364284515,0.11850247524752475,0.10781018023930738,0.13010056681603926,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.27414012738853505,0.26041068265289385,0.2883112450239244,0.7429885057471264,0.7297922110252452,0.7557560157520818
level_weight,xgboost,0.95,0.2022014707326889,0.10396294390118374,0.09475463094337329,0.11395347899250692,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.11286624203821656,0.10334306021124738,0.12314647064597244,0.8933333333333333,0.8838104932041011,0.9021620858082045
undersampling,lr_scored,0.8,0.3829987222270787,0.12173290368779091,0.11012330626288211,0.13438160003561084,0.8,0.7593592358943103,0.8352661081693097,0.375031847133758,0.36001518173340585,0.3902928899253413,0.6420689655172414,0.6277033162868066,0.6561839156416591
undersampling,lr_scored,0.85,0.356598881726173,0.11433986102337335,0.10371937046753239,0.12589509709371902,0.851764705882353,0.8148357311181423,0.8823916330976317,0.2856050955414013,0.271688832191147,0.2999406118472541,0.727816091954023,0.7143928772269525,0.7408372956551017
undersampling,lr_scored,0.9,0.3382482739197792,0.11162926260565433,0.10152338206472895,0.12260383546484187,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22343949044585987,0.21068192159444774,0.23673787817225975,0.7887356321839081,0.7763529521245593,0.8006088007915457
undersampling,lr_scored,0.95,0.3005626777046511,0.10380267214799589,0.09460784409862978,0.1137788336966329,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.1113375796178344,0.10187456225642227,0.12156063308591983,0.894712643678161,0.8852409491326266,0.903487816597431
undersampling,lr_penalized,0.8,0.4090943853288869,0.13343799058084774,0.12078474241231399,0.14719485971262528,0.8,0.7593592358943103,0.8352661081693097,0.43745222929936306,0.42200151310419354,0.45302525874539346,0.5857471264367816,0.5710394116205025,0.600303529333086
undersampling,lr_penalized,0.85,0.3839671158140358,0.12675070028011204,0.11504845670106945,0.13945567204207854,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3645859872611465,0.34966753959320285,0.37976923938054663,0.6565517241379311,0.6423077952527927,0.67051939721207
undersampling,lr_penalized,0.9,0.3385293858418022,0.11211943793911007,0.101971593518281,0.12313868369502817,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22726114649681528,0.21442137983250795,0.24063425872139385,0.7852873563218391,0.7728359933729817,0.7972352927487433
