technique,metric,model_a,model_b,difference,low,high,t,p_value,p_holm
ctgan,pr_auc,lr_penalized,random_forest,-0.011363596691851907,-0.1271026161868249,0.10437542280312108,-0.2725995308255089,0.7986549732922712,1.0
ctgan,pr_auc,lr_penalized,xgboost,-0.06455566543809102,-0.13075623732566732,0.0016449064494852839,-2.7074578996501213,0.053678260105469805,0.4831043409492283
ctgan,pr_auc,lr_scored,random_forest,-0.019259167562964856,-0.17022026682401648,0.13170193169808675,-0.35421059976458336,0.7410647107981624,1.0
ctgan,pr_auc,lr_scored,xgboost,-0.07245123630920396,-0.18061813870712523,0.03571566608871732,-1.8596897568186603,0.13644945331541128,0.8186967198924677
ctgan,pr_auc,random_forest,xgboost,-0.05319206874623911,-0.13582525776000276,0.02944112026752456,-1.7872341690847875,0.14842797488416792,0.8186967198924677
ctgan_level,pr_auc,dummy,lr_penalized,-0.0816926252222139,-0.15368736636478958,-0.009697884079638244,-3.150439682529,0.03449943397176411,0.2759954717741129
ctgan_level,pr_auc,dummy,lr_scored,-0.04830227439237359,-0.11137429404465155,0.014769745259904356,-2.126277453076339,0.10062845328422654,0.40251381313690615
ctgan_level,pr_auc,dummy,random_forest,-0.07433855396450528,-0.14276617153103807,-0.005910936397972494,-3.016280876380814,0.03930669476591171,0.2759954717741129
ctgan_level,pr_auc,dummy,xgboost,-0.12684341583661324,-0.2246995921394881,-0.02898723953373837,-3.5988917034334063,0.02278060710189599,0.20502546391706392
ctgan_level,pr_auc,lr_penalized,lr_scored,0.03339035082984031,-0.006326800584476086,0.0731075022441567,2.334167301054988,0.07988666790621472,0.39943333953107363
ctgan_level,pr_auc,lr_penalized,random_forest,0.007354071257708617,-0.060014665960419454,0.07472280847583669,0.3030808649512077,0.7769370417015573,0.7769370417015573
ctgan_level,pr_auc,lr_penalized,xgboost,-0.045150790614399305,-0.11202013359032659,0.021718552361527976,-1.8746810723456353,0.1341031872644837,0.40251381313690615
ctgan_level,pr_auc,lr_scored,random_forest,-0.02603627957213169,-0.0861637448873287,0.034091185743065314,-1.202250928035307,0.29556969989048026,0.5911393997809605
ctgan_level,pr_auc,lr_scored,xgboost,-0.07854114144423961,-0.1488473296965923,-0.008234953191886898,-3.1016497002624703,0.03616322643011581,0.2759954717741129
ctgan_level,pr_auc,random_forest,xgboost,-0.05250486187210792,-0.09083163497958671,-0.014178088764629136,-3.8035257060411003,0.019045817291844666,0.19045817291844666
level_weight,pr_auc,dummy,lr_penalized,-0.1569116842335973,-0.30082458885155466,-0.012998779615639944,-3.02722454803648,0.03888632269286363,0.31109058154290903
level_weight,pr_auc,dummy,lr_scored,-0.1431719785556451,-0.28634448234578347,5.252344933148745e-07,-2.7764349196894074,0.05000052111041557,0.350003647772909
level_weight,pr_auc,dummy,random_forest,-0.1523944372755573,-0.26701570502552907,-0.037773169525585515,-3.6914160673571628,0.020992657375550484,0.18893391637995435
level_weight,pr_auc,dummy,xgboost,-0.16269387476245903,-0.25841423992264745,-0.06697350960227064,-4.719064866436236,0.009177926223582605,0.09177926223582605
level_weight,pr_auc,lr_penalized,lr_scored,0.013739705677952213,-0.042683926323738276,0.0701633376796427,0.676091510296002,0.536057189573517,1.0
level_weight,pr_auc,lr_penalized,random_forest,0.004517246958040011,-0.048307103053322885,0.05734159696940291,0.23742626654037316,0.8239910669660792,1.0
level_weight,pr_auc,lr_penalized,xgboost,-0.005782190528861702,-0.08054755767321466,0.06898317661549126,-0.21472421261816366,0.8404852498467351,1.0
level_weight,pr_auc,lr_scored,random_forest,-0.009222458719912202,-0.05063588196163766,0.032190964521813255,-0.6182934992196047,0.5698501286901104,1.0
level_weight,pr_auc,lr_scored,xgboost,-0.019521896206813917,-0.08758721999432642,0.048543427580698593,-0.7963155120923975,0.47043691213360744,1.0
