setting,population,model,target_sensitivity,threshold,screened,detected
tesi,"tutti, bersaglio composito",lr_penalized,0.12,0.3087444428181728,0.027586206896551724,0.12
tesi,"tutti, bersaglio composito",lr_penalized,0.13,0.3009674201076019,0.029425287356321838,0.13176470588235295
tesi,"tutti, bersaglio composito",lr_penalized,0.14,0.2944123652694755,0.03195402298850575,0.1411764705882353
tesi,"tutti, bersaglio composito",lr_penalized,0.15,0.2883260874557929,0.03402298850574713,0.15058823529411763
tesi,"tutti, bersaglio composito",lr_penalized,0.16,0.2730620551407398,0.03908045977011494,0.16
tesi,"tutti, bersaglio composito",lr_penalized,0.17,0.2632305317696486,0.04298850574712643,0.17176470588235293
tesi,"tutti, bersaglio composito",lr_penalized,0.18,0.2610156110191824,0.044367816091954025,0.1811764705882353
tesi,"tutti, bersaglio composito",lr_penalized,0.19,0.2423959314630407,0.05241379310344828,0.19058823529411764
tesi,"tutti, bersaglio composito",lr_penalized,0.2,0.2418251483691836,0.05333333333333334,0.2
tesi,"tutti, bersaglio composito",lr_penalized,0.21,0.2385288072202909,0.056091954022988506,0.21176470588235294
tesi,"tutti, bersaglio composito",lr_penalized,0.22,0.2268878896628547,0.06,0.2211764705882353
tesi,"tutti, bersaglio composito",lr_penalized,0.23,0.222687426225479,0.06298850574712643,0.23058823529411765
tesi,"tutti, bersaglio composito",lr_penalized,0.24,0.2158861381398044,0.067816091954023,0.24
tesi,"tutti, bersaglio composito",lr_penalized,0.25,0.2086577757219241,0.07195402298850574,0.25176470588235295
tesi,"tutti, bersaglio composito",lr_penalized,0.26,0.2058096198180216,0.07517241379310345,0.2611764705882353
tesi,"tutti, bersaglio composito",lr_penalized,0.27,0.2037812067233319,0.07770114942528736,0.27058823529411763
tesi,"tutti, bersaglio composito",lr_penalized,0.28,0.2011875364539581,0.08045977011494253,0.28
tesi,"tutti, bersaglio composito",lr_penalized,0.29,0.1954287177507883,0.0871264367816092,0.2917647058823529
tesi,"tutti, bersaglio composito",lr_penalized,0.3,0.1936671452347449,0.08919540229885058,0.30117647058823527
tesi,"tutti, bersaglio composito",lr_penalized,0.31,0.1873673179514311,0.09540229885057472,0.31058823529411766
tesi,"tutti, bersaglio composito",lr_penalized,0.32,0.1766289056790248,0.1064367816091954,0.32
