group,model,threshold,n,positives,tests_per_100,found_per_100,missed_per_100,tests_per_case,tests_per_case_all,extra_tests_per_100_all,extra_cases_per_100_all,cost_per_case,cost_per_case_all,saving_per_100,incremental_cost_per_case,cost_per_case_low,cost_per_case_all_low,saving_per_100_low,incremental_cost_per_case_low,cost_per_case_high,cost_per_case_all_high,saving_per_100_high,incremental_cost_per_case_high
tutti,random_forest,0.135,4350,425,18.75862068965517,4.2988505747126435,5.471264367816092,4.363636363636363,10.235294117647058,81.24137931034483,5.471264367816092,213.8181818181818,501.52941176470586,3980.8275862068963,727.5882352941177,157.09090909090907,368.4705882352941,2924.689655172414,534.5546218487395,279.27272727272725,655.0588235294117,5199.448275862069,950.3193277310925
tutti,random_forest,0.14,4350,425,17.03448275862069,4.068965517241379,5.7011494252873565,4.186440677966102,10.235294117647058,82.96551724137932,5.7011494252873565,205.135593220339,501.52941176470586,4065.3103448275865,713.0685483870968,150.71186440677968,368.4705882352941,2986.7586206896553,523.8870967741935,267.93220338983053,655.0588235294117,5309.793103448276,931.3548387096774
tutti,random_forest,0.145,4350,425,15.954022988505747,3.9080459770114944,5.862068965517241,4.08235294117647,10.235294117647058,84.04597701149426,5.862068965517241,200.03529411764706,501.52941176470586,4118.252873563219,702.5254901960784,146.96470588235292,368.4705882352941,3025.6551724137935,516.1411764705882,261.2705882352941,655.0588235294117,5378.942528735633,917.5843137254902
tutti,random_forest,0.15,4350,425,14.827586206896552,3.793103448275862,5.977011494252873,3.909090909090909,10.235294117647058,85.17241379310344,5.977011494252873,191.54545454545456,501.52941176470586,4173.448275862069,698.25,140.72727272727272,368.4705882352941,3066.206896551724,513.0,250.1818181818182,655.0588235294117,5451.0344827586205,912.0
tutti,random_forest,0.155,4350,425,13.402298850574713,3.6551724137931036,6.114942528735632,3.6666666666666665,10.235294117647058,86.59770114942529,6.114942528735632,179.66666666666666,501.52941176470586,4243.287356321839,693.921052631579,132.0,368.4705882352941,3117.5172413793107,509.81954887218046,234.66666666666666,655.0588235294117,5542.252873563219,906.3458646616541
tutti,random_forest,0.16,4350,425,12.344827586206897,3.3793103448275863,6.390804597701149,3.6530612244897958,10.235294117647058,87.65517241379311,6.390804597701149,179.0,501.52941176470586,4295.103448275862,672.0755395683453,131.51020408163265,368.4705882352941,3155.586206896552,493.76978417266184,233.79591836734693,655.0588235294117,5609.931034482759,877.8129496402878
tutti,random_forest,0.165,4350,425,11.28735632183908,3.1954022988505746,6.574712643678161,3.5323741007194243,10.235294117647058,88.71264367816092,6.574712643678161,173.0863309352518,501.52941176470586,4346.919540229885,661.1573426573426,127.16546762589927,368.4705882352941,3193.655172413793,485.74825174825173,226.07194244604315,655.0588235294117,5677.609195402299,863.5524475524476
tutti,random_forest,0.17,4350,425,10.505747126436782,2.942528735632184,6.827586206896552,3.5703125,10.235294117647058,89.49425287356321,6.827586206896552,174.9453125,501.52941176470586,4385.218390804597,642.2794612794613,128.53125,368.4705882352941,3221.793103448276,471.8787878787879,228.5,655.0588235294117,5727.632183908046,838.8956228956229
tutti,random_forest,0.175,4350,425,9.770114942528735,2.8735632183908044,6.896551724137931,3.4,10.235294117647058,90.22988505747126,6.896551724137931,166.6,501.52941176470586,4421.264367816092,641.0833333333334,122.39999999999999,368.4705882352941,3248.2758620689656,471.0,217.6,655.0588235294117,5774.712643678161,837.3333333333334
tutti,random_forest,0.18,4350,425,8.89655172413793,2.6436781609195403,7.126436781609195,3.365217391304348,10.235294117647058,91.10344827586206,7.126436781609195,164.89565217391305,501.52941176470586,4464.068965517241,626.4096774193548,121.14782608695653,368.4705882352941,3279.7241379310344,460.2193548387097,215.37391304347827,655.0588235294117,5830.620689655172,818.1677419354838
tutti,random_forest,0.185,4350,425,8.413793103448276,2.5057471264367814,7.264367816091954,3.3577981651376145,10.235294117647058,91.58620689655173,7.264367816091954,164.5321100917431,501.52941176470586,4487.724137931034,617.7721518987341,120.88073394495413,368.4705882352941,3297.1034482758623,453.873417721519,214.89908256880733,655.0588235294117,5861.517241379311,806.8860759493671
tutti,random_forest,0.19,4350,425,7.609195402298851,2.3448275862068964,7.425287356321839,3.2450980392156863,10.235294117647058,92.39080459770115,7.425287356321839,159.00980392156862,501.52941176470586,4527.149425287356,609.6934984520124,116.82352941176471,368.4705882352941,3326.0689655172414,447.938080495356,207.68627450980392,655.0588235294117,5913.0114942528735,796.3343653250774
